timestamp,left_voltage,right_voltage,high_gear,queue_index
745,0,0,1,0

747,0,0,1,1

752,0,0,1,2

757,0,0,1,3

762,0,0,1,4

767,0,0,1,5

1392,0,0,1,130

1397,0,0,1,131

1402,0,0,1,132

1407,0,0,1,133

1412,0,0,1,134

1417,0,0,1,135

1422,0,0,1,136

1427,0,0,1,137

1432,0,0,1,138

1437,0,0,1,139

1442,0,0,1,140

1447,0,0,1,141

1452,0,0,1,142

1457,0,0,1,143

1462,0,0,1,144

1467,0,0,1,145

1472,0,0,1,146

1477,0,0,1,147

1482,0,0,1,148

1487,0,0,1,149

1492,0,0,1,150

1497,0,0,1,151

1502,0,0,1,152

1507,0,0,1,153

1512,0,0,1,154

1517,0,0,1,155

1522,0,0,1,156

1527,0,0,1,157

1532,0,0,1,158

1537,0,0,1,159

1542,0,0,1,160

1547,0,0,1,161

1552,0,0,1,162

1557,0,0,1,163

1562,0,0,1,164

1567,0,0,1,165

1572,0,0,1,166

1577,0,0,1,167

1582,0,0,1,168

1587,0,0,1,169

1592,0,0,1,170

1597,0,0,1,171

1602,0,0,1,172

1607,0,0,1,173

1612,0,0,1,174

1617,0,0,1,175

1622,0,0,1,176

1627,0,0,1,177

1632,0,0,1,178

1637,0,0,1,179

1642,0,0,1,180

1647,0,0,1,181

1652,0,0,1,182

1657,0,0,1,183

1662,0,0,1,184

1667,0,0,1,185

1672,0,0,1,186

1677,0,0,1,187

1682,0,0,1,188

1687,0,0,1,189

1692,0,0,1,190

1697,0,0,1,191

1702,0,0,1,192

1707,0,0,1,193

1712,0,0,1,194

1717,0,0,1,195

1722,0,0,1,196

1727,0,0,1,197

1732,0,0,1,198

1737,0,0,1,199

1742,0,0,1,200

1747,0,0,1,201

1752,0,0,1,202

1757,0,0,1,203

1762,0,0,1,204

1767,0,0,1,205

1772,0,0,1,206

1777,0,0,1,207

1782,0,0,1,208

1787,0,0,1,209

1792,0,0,1,210

1797,0,0,1,211

1802,0,0,1,212

1807,0,0,1,213

1812,0,0,1,214

1817,0,0,1,215

1822,0,0,1,216

1827,0,0,1,217

1832,0,0,1,218

1837,0,0,1,219

1842,0,0,1,220

1847,0,0,1,221

1852,0,0,1,222

1857,0,0,1,223

1862,0,0,1,224

1867,0,0,1,225

1872,0,0,1,226

1877,0,0,1,227

1882,0,0,1,228

1887,0,0,1,229

1892,0,0,1,230

1897,0,0,1,231

1902,0,0,1,232

1907,0,0,1,233

1912,0,0,1,234

1917,0,0,1,235

1922,0,0,1,236

1927,0,0,1,237

1932,0,0,1,238

1937,0,0,1,239

1942,0,0,1,240

1947,0,0,1,241

1952,0,0,1,242

1957,0,0,1,243

1962,0,0,1,244

1967,0,0,1,245

1972,0,0,1,246

1977,0,0,1,247

1982,0,0,1,248

1987,0,0,1,249

1992,0,0,1,250

1997,0,0,1,251

2002,0,0,1,252

2007,0,0,1,253

2012,0,0,1,254

2017,0,0,1,255

2022,0,0,1,256

2027,0,0,1,257

2032,0,0,1,258

2037,0,0,1,259

2042,0,0,1,260

2047,0,0,1,261

2052,0,0,1,262

2057,0,0,1,263

2062,0,0,1,264

2067,0,0,1,265

2072,0,0,1,266

2077,0,0,1,267

2082,0,0,1,268

2087,0,0,1,269

2092,0,0,1,270

2097,0,0,1,271

2102,0,0,1,272

2107,0,0,1,273

2112,0,0,1,274

2117,0,0,1,275

2122,0,0,1,276

2127,0,0,1,277

2132,0,0,1,278

2137,0,0,1,279

2142,0,0,1,280

2147,0,0,1,281

2152,0,0,1,282

2157,0,0,1,283

2162,0,0,1,284

2167,0,0,1,285

2172,0,0,1,286

2177,0,0,1,287

2182,0,0,1,288

2187,0,0,1,289

2192,0,0,1,290

2197,0,0,1,291

2202,0,0,1,292

2207,0,0,1,293

2212,0,0,1,294

2217,0,0,1,295

2222,0,0,1,296

2227,0,0,1,297

2232,0,0,1,298

2237,0,0,1,299

2242,0,0,1,300

2247,0,0,1,301

2252,0,0,1,302

2257,0,0,1,303

2262,0,0,1,304

2267,0,0,1,305

2272,0,0,1,306

2277,0,0,1,307

2282,0,0,1,308

2287,0,0,1,309

2292,0,0,1,310

2297,0,0,1,311

2302,0,0,1,312

2307,0,0,1,313

2312,0,0,1,314

2317,0,0,1,315

2322,0,0,1,316

2327,0,0,1,317

2332,0,0,1,318

2337,0,0,1,319

2342,0,0,1,320

2347,0,0,1,321

2352,0,0,1,322

2357,0,0,1,323

2362,0,0,1,324

2367,0,0,1,325

2372,0,0,1,326

2377,0,0,1,327

2382,0,0,1,328

2387,0,0,1,329

2392,0,0,1,330

2397,0,0,1,331

2402,0,0,1,332

2407,0,0,1,333

2412,0,0,1,334

2417,0,0,1,335

2422,0,0,1,336

2427,0,0,1,337

2432,0,0,1,338

2437,0,0,1,339

2442,0,0,1,340

2447,0,0,1,341

2452,0,0,1,342

2457,0,0,1,343

2462,0,0,1,344

2467,0,0,1,345

2472,0,0,1,346

2477,0,0,1,347

2482,0,0,1,348

2487,0,0,1,349

2492,0,0,1,350

2497,0,0,1,351

2502,0,0,1,352

2507,0,0,1,353

2512,0,0,1,354

2517,0,0,1,355

2522,0,0,1,356

2527,0,0,1,357

2532,0,0,1,358

2537,0,0,1,359

2542,0,0,1,360

2547,0,0,1,361

2552,0,0,1,362

2557,0,0,1,363

2562,0,0,1,364

2567,0,0,1,365

2572,0,0,1,366

2577,0,0,1,367

2582,0,0,1,368

2587,0,0,1,369

2592,0,0,1,370

2597,0,0,1,371

2602,0,0,1,372

2607,0,0,1,373

2612,0,0,1,374

2617,0,0,1,375

2622,0,0,1,376

2627,0,0,1,377

2632,0,0,1,378

2637,0,0,1,379

2642,0,0,1,380

2647,0,0,1,381

2652,0,0,1,382

2657,0,0,1,383

2662,0,0,1,384

2667,0,0,1,385

2672,0,0,1,386

2677,0,0,1,387

2682,0,0,1,388

2687,0,0,1,389

2692,0,0,1,390

2697,0,0,1,391

2702,0,0,1,392

2707,0,0,1,393

2712,0,0,1,394

2717,0,0,1,395

2722,0,0,1,396

2727,0,0,1,397

2732,0,0,1,398

2737,0,0,1,399

2742,0,0,1,400

2747,0,0,1,401

2752,0,0,1,402

2757,0,0,1,403

2762,0,0,1,404

2767,0,0,1,405

2772,0,0,1,406

2777,0,0,1,407

2782,0,0,1,408

2787,0,0,1,409

2792,0,0,1,410

2797,0,0,1,411

2802,0,0,1,412

2807,0,0,1,413

2812,0,0,1,414

2817,0,0,1,415

2822,0,0,1,416

2827,0,0,1,417

2832,0,0,1,418

2837,0,0,1,419

2842,0,0,1,420

2847,0,0,1,421

2852,0,0,1,422

2857,0,0,1,423

2862,0,0,1,424

2867,0,0,1,425

2872,0,0,1,426

2877,0,0,1,427

2882,0,0,1,428

2887,0,0,1,429

2892,0,0,1,430

2897,0,0,1,431

2902,0,0,1,432

2907,0,0,1,433

2912,0,0,1,434

2917,0,0,1,435

2922,0,0,1,436

2927,0,0,1,437

2932,0,0,1,438

2937,0,0,1,439

2942,0,0,1,440

2947,0,0,1,441

2952,0,0,1,442

2957,0,0,1,443

2962,0,0,1,444

2967,0,0,1,445

2972,0,0,1,446

2977,0,0,1,447

2982,0,0,1,448

2987,0,0,1,449

2992,0,0,1,450

2997,0,0,1,451

3002,0,0,1,452

3007,0,0,1,453

3012,0,0,1,454

3017,0,0,1,455

