timestamp,elevator_voltage,intake_voltage,wrist_voltage,wrist_solenoid_open,wrist_solenoid_close,queue_index
748,0,0,0,0,0,0

750,0,0,0,0,0,1

755,0,0,0,0,0,2

760,0,0,0,0,0,3

765,0,0,0,0,0,4

770,0,0,0,0,0,5

775,0,0,0,0,0,6

1415,0,0,0,0,0,134

1420,0,0,0,0,0,135

1425,0,0,0,0,0,136

1430,0,0,0,0,0,137

1435,0,0,0,0,0,138

1440,0,0,0,0,0,139

1445,0,0,0,0,0,140

1450,0,0,0,0,0,141

1455,0,0,0,0,0,142

1460,0,0,0,0,0,143

1465,0,0,0,0,0,144

1470,0,0,0,0,0,145

1475,0,0,0,0,0,146

1480,0,0,0,0,0,147

1485,0,0,0,0,0,148

1490,0,0,0,0,0,149

1495,0,0,0,0,0,150

1500,0,0,0,0,0,151

1505,0,0,0,0,0,152

1510,0,0,0,0,0,153

1515,0,0,0,0,0,154

1520,0,0,0,0,0,155

1525,0,0,0,0,0,156

1530,0,0,0,0,0,157

1535,0,0,0,0,0,158

1540,0,0,0,0,0,159

1545,0,0,0,0,0,160

1550,0,0,0,0,0,161

1555,0,0,0,0,0,162

1560,0,0,0,0,0,163

1565,0,0,0,0,0,164

1570,0,0,0,0,0,165

1575,0,0,0,0,0,166

1580,0,0,0,0,0,167

1585,0,0,0,0,0,168

1590,0,0,0,0,0,169

1595,0,0,0,0,0,170

1600,0,0,0,0,0,171

1605,0,0,0,0,0,172

1610,0,0,0,0,0,173

1615,0,0,0,0,0,174

1620,0,0,0,0,0,175

1625,0,0,0,0,0,176

1630,0,0,0,0,0,177

1635,0,0,0,0,0,178

1640,0,0,0,0,0,179

1645,0,0,0,0,0,180

1650,0,0,0,0,0,181

1655,0,0,0,0,0,182

1660,0,0,0,0,0,183

1665,0,0,0,0,0,184

1670,0,0,0,0,0,185

1675,0,0,0,0,0,186

1680,0,0,0,0,0,187

1685,0,0,0,0,0,188

1690,0,0,0,0,0,189

1695,0,0,0,0,0,190

1700,0,0,0,0,0,191

1705,0,0,0,0,0,192

1710,0,0,0,0,0,193

1715,0,0,0,0,0,194

1720,0,0,0,0,0,195

1725,0,0,0,0,0,196

1730,0,0,0,0,0,197

1735,0,0,0,0,0,198

1740,0,0,0,0,0,199

1745,0,0,0,0,0,200

1750,0,0,0,0,0,201

1755,0,0,0,0,0,202

1760,0,0,0,0,0,203

1765,0,0,0,0,0,204

1770,0,0,0,0,0,205

1775,0,0,0,0,0,206

1780,0,0,0,0,0,207

1785,0,0,0,0,0,208

1790,0,0,0,0,0,209

1795,0,0,0,0,0,210

1800,0,0,0,0,0,211

1805,0,0,0,0,0,212

1810,0,0,0,0,0,213

1815,0,0,0,0,0,214

1820,0,0,0,0,0,215

1825,0,0,0,0,0,216

1830,0,0,0,0,0,217

1835,0,0,0,0,0,218

1840,0,0,0,0,0,219

1845,0,0,0,0,0,220

1850,0,0,0,0,0,221

1855,0,0,0,0,0,222

1860,0,0,0,0,0,223

1865,0,0,0,0,0,224

1870,0,0,0,0,0,225

1875,0,0,0,0,0,226

1880,0,0,0,0,0,227

1885,0,0,0,0,0,228

1890,0,0,0,0,0,229

1895,0,0,0,0,0,230

1900,0,0,0,0,0,231

1905,0,0,0,0,0,232

1910,0,0,0,0,0,233

1915,0,0,0,0,0,234

1920,0,0,0,0,0,235

1925,0,0,0,0,0,236

1930,0,0,0,0,0,237

1935,0,0,0,0,0,238

1940,0,0,0,0,0,239

1945,0,0,0,0,0,240

1950,0,0,0,0,0,241

1955,0,0,0,0,0,242

1960,0,0,0,0,0,243

1965,0,0,0,0,0,244

1970,0,0,0,0,0,245

1975,0,0,0,0,0,246

1980,0,0,0,0,0,247

1985,0,0,0,0,0,248

1990,0,0,0,0,0,249

1995,0,0,0,0,0,250

2000,0,0,0,0,0,251

2005,0,0,0,0,0,252

2010,0,0,0,0,0,253

2015,0,0,0,0,0,254

2020,0,0,0,0,0,255

2025,0,0,0,0,0,256

2030,0,0,0,0,0,257

2035,0,0,0,0,0,258

2040,0,0,0,0,0,259

2045,0,0,0,0,0,260

2050,0,0,0,0,0,261

2055,0,0,0,0,0,262

2060,0,0,0,0,0,263

2065,0,0,0,0,0,264

2070,0,0,0,0,0,265

2075,0,0,0,0,0,266

2080,0,0,0,0,0,267

2085,0,0,0,0,0,268

2090,0,0,0,0,0,269

2095,0,0,0,0,0,270

2100,0,0,0,0,0,271

2105,0,0,0,0,0,272

2110,0,0,0,0,0,273

2115,0,0,0,0,0,274

2120,0,0,0,0,0,275

2125,0,0,0,0,0,276

2130,0,0,0,0,0,277

2135,0,0,0,0,0,278

2140,0,0,0,0,0,279

2145,0,0,0,0,0,280

2150,0,0,0,0,0,281

2155,0,0,0,0,0,282

2160,0,0,0,0,0,283

2165,0,0,0,0,0,284

2170,0,0,0,0,0,285

2175,0,0,0,0,0,286

2180,0,0,0,0,0,287

2185,0,0,0,0,0,288

2190,0,0,0,0,0,289

2195,0,0,0,0,0,290

2200,0,0,0,0,0,291

2205,0,0,0,0,0,292

2210,0,0,0,0,0,293

2215,0,0,0,0,0,294

2220,0,0,0,0,0,295

2225,0,0,0,0,0,296

2230,0,0,0,0,0,297

2235,0,0,0,0,0,298

2240,0,0,0,0,0,299

2245,0,0,0,0,0,300

2250,0,0,0,0,0,301

2255,0,0,0,0,0,302

2260,0,0,0,0,0,303

2265,0,0,0,0,0,304

2270,0,0,0,0,0,305

2275,0,0,0,0,0,306

2280,0,0,0,0,0,307

2285,0,0,0,0,0,308

2290,0,0,0,0,0,309

2295,0,0,0,0,0,310

2300,0,0,0,0,0,311

2305,0,0,0,0,0,312

2310,0,0,0,0,0,313

2315,0,0,0,0,0,314

2320,0,0,0,0,0,315

2325,0,0,0,0,0,316

2330,0,0,0,0,0,317

2335,0,0,0,0,0,318

2340,0,0,0,0,0,319

2345,0,0,0,0,0,320

2350,0,0,0,0,0,321

2355,0,0,0,0,0,322

2360,0,0,0,0,0,323

2365,0,0,0,0,0,324

2370,0,0,0,0,0,325

2375,0,0,0,0,0,326

2380,0,0,0,0,0,327

2385,0,0,0,0,0,328

2390,0,0,0,0,0,329

2395,0,0,0,0,0,330

2400,0,0,0,0,0,331

2405,0,0,0,0,0,332

2410,0,0,0,0,0,333

2415,0,0,0,0,0,334

2420,0,0,0,0,0,335

2425,0,0,0,0,0,336

2430,0,0,0,0,0,337

2435,0,0,0,0,0,338

2440,0,0,0,0,0,339

2445,0,0,0,0,0,340

2450,0,0,0,0,0,341

2455,0,0,0,0,0,342

2460,0,0,0,0,0,343

2465,0,0,0,0,0,344

2470,0,0,0,0,0,345

2475,0,0,0,0,0,346

2480,0,0,0,0,0,347

2485,0,0,0,0,0,348

2490,0,0,0,0,0,349

2495,0,0,0,0,0,350

2500,0,0,0,0,0,351

2505,0,0,0,0,0,352

2510,0,0,0,0,0,353

2515,0,0,0,0,0,354

2520,0,0,0,0,0,355

2525,0,0,0,0,0,356

2530,0,0,0,0,0,357

2535,0,0,0,0,0,358

2540,0,0,0,0,0,359

2545,0,0,0,0,0,360

2550,0,0,0,0,0,361

2555,0,0,0,0,0,362

2560,0,0,0,0,0,363

2565,0,0,0,0,0,364

2570,0,0,0,0,0,365

2575,0,0,0,0,0,366

2580,0,0,0,0,0,367

2585,0,0,0,0,0,368

2590,0,0,0,0,0,369

2595,0,0,0,0,0,370

2600,0,0,0,0,0,371

2605,0,0,0,0,0,372

2610,0,0,0,0,0,373

2615,0,0,0,0,0,374

2620,0,0,0,0,0,375

2625,0,0,0,0,0,376

2630,0,0,0,0,0,377

2635,0,0,0,0,0,378

2640,0,0,0,0,0,379

2645,0,0,0,0,0,380

2650,0,0,0,0,0,381

2655,0,0,0,0,0,382

2660,0,0,0,0,0,383

2665,0,0,0,0,0,384

2670,0,0,0,0,0,385

2675,0,0,0,0,0,386

2680,0,0,0,0,0,387

2685,0,0,0,0,0,388

2690,0,0,0,0,0,389

2695,0,0,0,0,0,390

2700,0,0,0,0,0,391

2705,0,0,0,0,0,392

2710,0,0,0,0,0,393

2715,0,0,0,0,0,394

2720,0,0,0,0,0,395

2725,0,0,0,0,0,396

2730,0,0,0,0,0,397

2735,0,0,0,0,0,398

2740,0,0,0,0,0,399

2745,0,0,0,0,0,400

2750,0,0,0,0,0,401

2755,0,0,0,0,0,402

2760,0,0,0,0,0,403

2765,0,0,0,0,0,404

2770,0,0,0,0,0,405

2775,0,0,0,0,0,406

2780,0,0,0,0,0,407

2785,0,0,0,0,0,408

2790,0,0,0,0,0,409

2795,0,0,0,0,0,410

2800,0,0,0,0,0,411

2805,0,0,0,0,0,412

2810,0,0,0,0,0,413

2815,0,0,0,0,0,414

2820,0,0,0,0,0,415

2825,0,0,0,0,0,416

2830,0,0,0,0,0,417

2835,0,0,0,0,0,418

2840,0,0,0,0,0,419

2845,0,0,0,0,0,420

2850,0,0,0,0,0,421

2855,0,0,0,0,0,422

2860,0,0,0,0,0,423

2865,0,0,0,0,0,424

2870,0,0,0,0,0,425

2875,0,0,0,0,0,426

2880,0,0,0,0,0,427

2885,0,0,0,0,0,428

2890,0,0,0,0,0,429

2895,0,0,0,0,0,430

