[WARNING]5297:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]14287:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]14292:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]14297:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]14302:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]14307:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]14312:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]14317:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]15012:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]15017:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]15022:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]15027:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]15032:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]15037:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
[WARNING]15042:muan/wpilib/gyro/gyro_reader.cpp:98: Velocity limit exceeded, Calibration Reset
