timestamp,climber_state,observed_velocity,observed_height,queue_index
751,0,0,0,0

753,0,0,0,1

758,0,0,0,2

763,0,0,0,3

768,0,0,0,4

773,0,0,0,5

778,0,0,0,6

783,0,0,0,7

788,0,0,0,8

793,0,0,0,9

798,0,0,0,10

803,0,0,0,11

808,0,0,0,12

813,0,0,0,13

818,0,0,0,14

823,0,0,0,15

828,0,0,0,16

833,0,0,0,17

838,0,0,0,18

843,0,0,0,19

848,0,0,0,20

853,0,0,0,21

858,0,0,0,22

863,0,0,0,23

868,0,0,0,24

873,0,0,0,25

878,0,0,0,26

883,0,0,0,27

888,0,0,0,28

893,0,0,0,29

898,0,0,0,30

903,0,0,0,31

908,0,0,0,32

913,0,0,0,33

918,0,0,0,34

923,0,0,0,35

928,0,0,0,36

933,0,0,0,37

938,0,0,0,38

943,0,0,0,39

948,0,0,0,40

953,0,0,0,41

958,0,0,0,42

963,0,0,0,43

968,0,0,0,44

973,0,0,0,45

978,0,0,0,46

983,0,0,0,47

988,0,0,0,48

993,0,0,0,49

998,0,0,0,50

1003,0,0,0,51

1008,0,0,0,52

1013,0,0,0,53

1018,0,0,0,54

1023,0,0,0,55

1028,0,0,0,56

1033,0,0,0,57

1038,0,0,0,58

1043,0,0,0,59

1048,0,0,0,60

1053,0,0,0,61

1058,0,0,0,62

1063,0,0,0,63

1068,0,0,0,64

1073,0,0,0,65

1078,0,0,0,66

1083,0,0,0,67

1088,0,0,0,68

1093,0,0,0,69

1098,0,0,0,70

1103,0,0,0,71

1108,0,0,0,72

1113,0,0,0,73

1118,0,0,0,74

1123,0,0,0,75

1128,0,0,0,76

1133,0,0,0,77

1138,0,0,0,78

1143,0,0,0,79

1148,0,0,0,80

1153,0,0,0,81

1158,0,0,0,82

1163,0,0,0,83

1168,0,0,0,84

1173,0,0,0,85

1178,0,0,0,86

1183,0,0,0,87

1188,0,0,0,88

1193,0,0,0,89

1198,0,0,0,90

1203,0,0,0,91

1208,0,0,0,92

1213,0,0,0,93

1218,0,0,0,94

1223,0,0,0,95

1228,0,0,0,96

1233,0,0,0,97

1238,0,0,0,98

1243,0,0,0,99

1248,0,0,0,100

1253,0,0,0,101

1258,0,0,0,102

1263,0,0,0,103

1268,0,0,0,104

1273,0,0,0,105

1278,0,0,0,106

1283,0,0,0,107

1288,0,0,0,108

1293,0,0,0,109

1298,0,0,0,110

1303,0,0,0,111

1308,0,0,0,112

1313,0,0,0,113

1318,0,0,0,114

1323,0,0,0,115

1328,0,0,0,116

1333,0,0,0,117

1338,0,0,0,118

1343,0,0,0,119

1348,0,0,0,120

1353,0,0,0,121

1358,0,0,0,122

1363,0,0,0,123

1368,0,0,0,124

1373,0,0,0,125

1378,0,0,0,126

1383,0,0,0,127

1388,0,0,0,128

1393,0,0,0,129

1398,0,0,0,130

1403,0,0,0,131

1408,0,0,0,132

1413,0,0,0,133

1418,0,0,0,134

1423,0,0,0,135

1428,0,0,0,136

1433,0,0,0,137

1438,0,0,0,138

1443,0,0,0,139

1448,0,0,0,140

1453,0,0,0,141

1458,0,0,0,142

1463,0,0,0,143

1468,0,0,0,144

1473,0,0,0,145

1478,0,0,0,146

1483,0,0,0,147

1488,0,0,0,148

1493,0,0,0,149

1498,0,0,0,150

1503,0,0,0,151

1508,0,0,0,152

1513,0,0,0,153

1518,0,0,0,154

1523,0,0,0,155

1528,0,0,0,156

1533,0,0,0,157

1538,0,0,0,158

1543,0,0,0,159

1548,0,0,0,160

1553,0,0,0,161

1558,0,0,0,162

1563,0,0,0,163

1568,0,0,0,164

1573,0,0,0,165

1578,0,0,0,166

1583,0,0,0,167

1588,0,0,0,168

1593,0,0,0,169

1598,0,0,0,170

1603,0,0,0,171

1608,0,0,0,172

1613,0,0,0,173

1618,0,0,0,174

1623,0,0,0,175

1628,0,0,0,176

1633,0,0,0,177

1638,0,0,0,178

1643,0,0,0,179

1648,0,0,0,180

1653,0,0,0,181

1658,0,0,0,182

1663,0,0,0,183

1668,0,0,0,184

1673,0,0,0,185

1678,0,0,0,186

1683,0,0,0,187

1688,0,0,0,188

1693,0,0,0,189

1698,0,0,0,190

1703,0,0,0,191

1708,0,0,0,192

1713,0,0,0,193

1718,0,0,0,194

1723,0,0,0,195

1728,0,0,0,196

1733,0,0,0,197

1738,0,0,0,198

1743,0,0,0,199

1748,0,0,0,200

1753,0,0,0,201

1758,0,0,0,202

1763,0,0,0,203

1768,0,0,0,204

1773,0,0,0,205

