timestamp,left_encoder,right_encoder,left_shifter_position,right_shifter_position,low_left_hall,high_left_hall,low_right_hall,high_right_hall,queue_index
750,0,0,0,0,0,0,0,0,0

752,0,0,0,0,0,0,0,0,1

757,0,0,0,0,0,0,0,0,2

762,0,0,0,0,0,0,0,0,3

767,0,0,0,0,0,0,0,0,4

772,0,0,0,0,0,0,0,0,5

777,0,0,0,0,0,0,0,0,6

782,0,0,0,0,0,0,0,0,7

787,0,0,0,0,0,0,0,0,8

792,0,0,0,0,0,0,0,0,9

797,0,0,0,0,0,0,0,0,10

802,0,0,0,0,0,0,0,0,11

807,0,0,0,0,0,0,0,0,12

812,0,0,0,0,0,0,0,0,13

817,0,0,0,0,0,0,0,0,14

822,0,0,0,0,0,0,0,0,15

827,0,0,0,0,0,0,0,0,16

832,0,0,0,0,0,0,0,0,17

837,0,0,0,0,0,0,0,0,18

842,0,0,0,0,0,0,0,0,19

847,0,0,0,0,0,0,0,0,20

852,0,0,0,0,0,0,0,0,21

857,0,0,0,0,0,0,0,0,22

862,0,0,0,0,0,0,0,0,23

867,0,0,0,0,0,0,0,0,24

872,0,0,0,0,0,0,0,0,25

877,0,0,0,0,0,0,0,0,26

882,0,0,0,0,0,0,0,0,27

887,0,0,0,0,0,0,0,0,28

892,0,0,0,0,0,0,0,0,29

897,0,0,0,0,0,0,0,0,30

902,0,0,0,0,0,0,0,0,31

907,0,0,0,0,0,0,0,0,32

912,0,0,0,0,0,0,0,0,33

917,0,0,0,0,0,0,0,0,34

922,0,0,0,0,0,0,0,0,35

927,0,0,0,0,0,0,0,0,36

932,0,0,0,0,0,0,0,0,37

937,0,0,0,0,0,0,0,0,38

942,0,0,0,0,0,0,0,0,39

947,0,0,0,0,0,0,0,0,40

952,0,0,0,0,0,0,0,0,41

957,0,0,0,0,0,0,0,0,42

962,0,0,0,0,0,0,0,0,43

967,0,0,0,0,0,0,0,0,44

972,0,0,0,0,0,0,0,0,45

977,0,0,0,0,0,0,0,0,46

982,0,0,0,0,0,0,0,0,47

987,0,0,0,0,0,0,0,0,48

992,0,0,0,0,0,0,0,0,49

997,0,0,0,0,0,0,0,0,50

1002,0,0,0,0,0,0,0,0,51

1007,0,0,0,0,0,0,0,0,52

1012,0,0,0,0,0,0,0,0,53

1017,0,0,0,0,0,0,0,0,54

1022,0,0,0,0,0,0,0,0,55

1027,0,0,0,0,0,0,0,0,56

1032,0,0,0,0,0,0,0,0,57

1037,0,0,0,0,0,0,0,0,58

1042,0,0,0,0,0,0,0,0,59

1047,0,0,0,0,0,0,0,0,60

1052,0,0,0,0,0,0,0,0,61

1057,0,0,0,0,0,0,0,0,62

1062,0,0,0,0,0,0,0,0,63

1067,0,0,0,0,0,0,0,0,64

1072,0,0,0,0,0,0,0,0,65

1077,0,0,0,0,0,0,0,0,66

1082,0,0,0,0,0,0,0,0,67

1087,0,0,0,0,0,0,0,0,68

1092,0,0,0,0,0,0,0,0,69

1097,0,0,0,0,0,0,0,0,70

1102,0,0,0,0,0,0,0,0,71

1107,0,0,0,0,0,0,0,0,72

1112,0,0,0,0,0,0,0,0,73

1117,0,0,0,0,0,0,0,0,74

1122,0,0,0,0,0,0,0,0,75

1127,0,0,0,0,0,0,0,0,76

1132,0,0,0,0,0,0,0,0,77

1137,0,0,0,0,0,0,0,0,78

1142,0,0,0,0,0,0,0,0,79

1147,0,0,0,0,0,0,0,0,80

1152,0,0,0,0,0,0,0,0,81

1157,0,0,0,0,0,0,0,0,82

1162,0,0,0,0,0,0,0,0,83

1167,0,0,0,0,0,0,0,0,84

1172,0,0,0,0,0,0,0,0,85

1177,0,0,0,0,0,0,0,0,86

1182,0,0,0,0,0,0,0,0,87

1187,0,0,0,0,0,0,0,0,88

1192,0,0,0,0,0,0,0,0,89

1197,0,0,0,0,0,0,0,0,90

1202,0,0,0,0,0,0,0,0,91

1207,0,0,0,0,0,0,0,0,92

1212,0,0,0,0,0,0,0,0,93

1217,0,0,0,0,0,0,0,0,94

1222,0,0,0,0,0,0,0,0,95

1227,0,0,0,0,0,0,0,0,96

1232,0,0,0,0,0,0,0,0,97

1237,0,0,0,0,0,0,0,0,98

1242,0,0,0,0,0,0,0,0,99

1247,0,0,0,0,0,0,0,0,100

1252,0,0,0,0,0,0,0,0,101

1257,0,0,0,0,0,0,0,0,102

1262,0,0,0,0,0,0,0,0,103

1267,0,0,0,0,0,0,0,0,104

1272,0,0,0,0,0,0,0,0,105

1277,0,0,0,0,0,0,0,0,106

1282,0,0,0,0,0,0,0,0,107

1287,0,0,0,0,0,0,0,0,108

1292,0,0,0,0,0,0,0,0,109

1297,0,0,0,0,0,0,0,0,110

1302,0,0,0,0,0,0,0,0,111

1307,0,0,0,0,0,0,0,0,112

1312,0,0,0,0,0,0,0,0,113

1317,0,0,0,0,0,0,0,0,114

1322,0,0,0,0,0,0,0,0,115

1327,0,0,0,0,0,0,0,0,116

1332,0,0,0,0,0,0,0,0,117

1337,0,0,0,0,0,0,0,0,118

1342,0,0,0,0,0,0,0,0,119

1347,0,0,0,0,0,0,0,0,120

1352,0,0,0,0,0,0,0,0,121

